# 大连理工情感词汇本体·轻量版(word\tintensity) 生成:2026-08-19
# 来源: github.com/yizhanmiao/DLUT-Emotionontology 情感词汇.csv(27466词)
# 清洗: 纯中文2-8字; 主+辅助情感取最高强度; 不按极性过滤(DLUT极性列有噪声,强词也标中性)
# 引用: 徐琳宏,林鸿飞,潘宇,等.情感词汇本体的构造[J].情报学报,2008,27(2):180-185.
# 许可: 学术研究用途, 商用联系 irlab@dlut.edu.cn
一世之雄	7
一世龙门	7
一丘之貉	7
一丝不挂	1
一丝不苟	7
一个心眼	3
一个心眼儿	9
一举两得	5
一举千里	9
一举成名	7
一之谓甚	5
一事无成	5
一二九运动	5
一五一十	9
一介不取	7
一仍旧贯	7
一代风流	7
一以当十	7
一以贯之	5
一体同心	5
一倡百和	1
一偏	7
一傅众修	5
一刀两断	5
一刀两段	5
一刻千金	9
一双两好	3
一发千钧	7
一发破的	8
一口吃个胖子	7
一口吸尽西江水	5
一叶知秋	9
一叶蔽目	5
一味	7
一呼百应	3
一呼百诺	9
一命呜呼	3
一哄而散	3
一哄而起	3
一唱一和	3
一团和气	1
一国三公	7
一场春梦	3
一场空	7
一块石头落了地	7
一塌糊涂	9
一塌胡涂	7
一失足成千古恨	5
一头儿沉	3
一如既往	1
一孔之见	5
一字一板	3
一字不苟	3
一字褒贬	8
一定	5
一定之规	3
一家之言	3
一尘不染	5
一岁三迁	5
一己之私	7
一帆风顺	5
一帮	7
一干二净	9
一床两好	3
一座皆惊	9
一往情深	7
一往无前	5
一得之功	1
一得之愚	1
一德一心	7
一心一德	7
一心一意	9
一念之差	3
一怒之下	7
一怔	7
一意孤行	7
一成不变	7
一手包办	5
一手遮天	7
一把死拿	7
一拍即合	5
一挥而就	3
一推六二五	5
一掷千金	9
一掷百万	9
一改故辙	5
一文不值	7
一文如命	7
一方平安	5
一无可取	7
一无所失	7
一无所成	7
一无所有	7
一无所知	1
一无所能	7
一无所长	9
一无是处	9
一无长物	5
一日万几	5
一日三秋	5
一日之长	5
一日九迁	7
一日千里	5
一是一	3
一暴十寒	7
一曝十寒	7
一望而知	3
一朝之忿	9
一朝天子一朝臣	7
一木难支	1
一本正经	5
一板三眼	5
一板正经	9
一枝独秀	7
一柱擎天	7
一树百获	7
一棍子打死	7
一步一个脚印	5
一步一个脚印儿	9
一步一鬼	7
